"","text"
"98","  wise   spare food  hand  case   even  normal times   clearly still   slightly elevated risk  something going wrong even though food supply chains   resilient"
"99"," crust   kind      baked  peanut butter pie   chocolate crust  chocolate whipped cream   fucking whips "
"100","   generalized anxiety disorder   doesnt ever embarrass    im freaking   something  imminent     thing im focused "
"101","  result  country  plunged economy  starving people mugabes friends  wife incompetent    able  manage  country thieves  corrupt   friends   anc   realized    agreed  reconcile   whites finally ufufufuf"
"102","many people  saying   bidens  first week nobody disagrees"
"103","currently  k ultra hd bluray  digital  writerdirector roland emmerich   pictures home entertainment      review      "
"104","   hovering   block   disinformation  hero     along  several others cost us  future   indecisiveness ideological rigidity  feeble leadership"
"105","  housing market    roof   salaries arent budging     recipe  "
"106"," ill never get  every single time  blushes  another female character   show like cmon   shes    wonderful  bi protagonist   feel  seen "
"107","  remember    cheat       also remember        franchise   cheating"
"108","  creating  thirdparty     would give every election   democrats  republican party   conservatives   needs   remolded  way  expel  phonies line romney  sasse"
"109"," omg  amazing brains cant explode  would    ufufuf lets  go   ig everyone happy   brains explode ufauufef"
"110","tweets moments   "
"111"," karl please   fantastic im  blown away   story  pacing  suspense  setting   characters      edge   seat    fantastic thank  thank  thank  ufufufufuf "
"112"," hey bestie  cant handle  right "
"113","amira listen   papa andrew    dayfiance"
"114"," photos taken moments  "
"115"," stuck record   track    time  change  album   onehit disastervoetsekanc"
"116","  interesting point  buffet  travel  rail doesnt make sense   less environmentally friendly    recall  rail   lac megantic quebec   runaway train carrying crude derailed  killed  residents   small town "
"117"," youre   quid pro ron"
"118","pictures taken moments   "
"119","   critical thinking   fuel  "
"120","  hate movies wthis theme ufmen bad  woman powerfuluf  thank goodness  one    phenomenal   hero commits negative acts   females   plans  destroy malesufuf  amp   diesufuf  im recommending   everyone promisingyoungwoman "
"121","    fr"
"122","taken moments   "
"123","  nottwitter      stay mum"
"124","  fact  nothing  people  pushed  last  years  worked    gdp  last gdp  pandemic   trump       gdp   year  obama        trump best economy ever trump ended longest streak"
"125","since karl forgets    abt    travels    forgets   needs  save  smp   sort  war    hes  forgotten   cares  everyones lifes   smp  doesnt know  needs  save "
"126"," assume  one operates based upon interactions  twitter   court   applying  little  think youve learned"
"127","president harris  one lives forevertake   meit    traumatic     voted    one   least favorite candidates amongst democrats  president  amy klobuchar  real    making picture   politico "
"128","researchers thought  site    chernobyl   unable  support life   bunch  wolves deer wild boars bears foxes  dogs disagreed "
"129","  separation turns     alberta would    worse   current situation  think   welfare cheque  quebec"
"130","    said  exact  thing  "
"131","  amp     bidding   media mates    pay  corporate income tax  australia  looks like small business   constantly remind us   engine room  australia   usual pay  price  "
"132","  dont think itll happen   might ask  leave cap situation     hes  likely without   rb   guy  snaps   ball next year"
"133","transcript  th hour  brian williams    think  biden   able  go back  focus   disasters     columbia university national center   preparedness "
"134","edward joseph komyati lt col usaf ret   civilian  worked   preparedness  ramstein afb germany   program manager management analyst  cost analyst  "
"135","   pretty much every single time someone stood  front   microphone    "
"136","     goal  raise  people like  right   im  lifelong independent turned liberal   must  fight fir good candidates       primary fir  needs   brutal  cities "
"137","persona  portable   overrated "
"138","weekends haha disasteruf"
"139","  goodness    got  hair    im gonna show  journey   hair  butchered   professional hairdresser  thread  photo    hair   got butchered "
"140","oh vey gentiles running treasury     would    rubs hands anxiously "
"141"," ornstein  article  compelling practical  realistic  implemented   suggest  could see  refreshing contrast occur  america  four interminably long years  chaos division corruption    hope  suggestions  heeded "
"142"," hope everyone  ready  every small child      restaurants  hoo boy  skills  gone "
"143"," redfield  cdc    helped incinerate cdcs rep  compounded  worst misgivings people      aids years contra  mostlygoodwill fauci earned   role  speeding clinical trials  surgeon general adamss health comms atrocious birx"
